wandb: Currently logged in as: yog1thun (yog1thun-peking-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 2k0sdzye
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in models/20260108-165245/wandb/run-20260108_165248-2k0sdzye
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run learner_2977856
wandb: ⭐️ View project at https://wandb.ai/yog1thun-peking-university/mahjong-rl
wandb: 🚀 View run at https://wandb.ai/yog1thun-peking-university/mahjong-rl/runs/2k0sdzye
Loaded pre-trained model from ckpt/20251230-175913/100.pkl
[Train] Iteration 0, total loss -0.0966, policy loss -51.1968, value loss 44.1821, entropy loss -0.0059, predict loss 6.9182
[Train] Iteration 931, total loss 5.1419, policy loss -4.8892, value loss 3.7687, entropy loss -0.0089, predict loss 6.2626
[Train] Iteration 932, total loss 6.5732, policy loss -4.4501, value loss 5.0260, entropy loss -0.0151, predict loss 5.9977
[Train] Iteration 933, total loss 7.6204, policy loss -4.7764, value loss 6.1881, entropy loss -0.0119, predict loss 6.2089
[Train] Iteration 934, total loss 11.1697, policy loss -4.5499, value loss 9.3554, entropy loss -0.0184, predict loss 6.3646
[Train] Iteration 935, total loss 5.3619, policy loss -4.5886, value loss 3.9719, entropy loss -0.0062, predict loss 5.9787
[Train] Iteration 936, total loss 12.6487, policy loss -5.2739, value loss 11.5029, entropy loss -0.0109, predict loss 6.4199
[Train] Iteration 937, total loss 6.5964, policy loss -4.7502, value loss 5.1436, entropy loss -0.0079, predict loss 6.2032
[Train] Iteration 938, total loss 5.8273, policy loss -4.0467, value loss 4.2503, entropy loss -0.0110, predict loss 5.6238
[Train] Iteration 939, total loss 8.1449, policy loss -4.4590, value loss 6.7739, entropy loss -0.0074, predict loss 5.8301
[Train] Iteration 940, total loss 10.8826, policy loss -5.0021, value loss 9.8811, entropy loss -0.0076, predict loss 6.0038
[Train] Iteration 941, total loss 8.1382, policy loss -4.7929, value loss 6.4867, entropy loss -0.0118, predict loss 6.4446
[Train] Iteration 942, total loss 9.2756, policy loss -4.4023, value loss 7.2275, entropy loss -0.0157, predict loss 6.4507
[Train] Iteration 943, total loss 8.6868, policy loss -4.2843, value loss 7.2855, entropy loss -0.0220, predict loss 5.6860
[Train] Iteration 944, total loss 10.5969, policy loss -4.9324, value loss 9.2695, entropy loss -0.0136, predict loss 6.2600
[Train] Iteration 945, total loss 2.7131, policy loss -4.5803, value loss 1.0753, entropy loss -0.0124, predict loss 6.2183
[Train] Iteration 946, total loss 7.9394, policy loss -4.0838, value loss 5.9352, entropy loss -0.0131, predict loss 6.0882
[Train] Iteration 947, total loss 7.5168, policy loss -4.7014, value loss 5.5191, entropy loss -0.0210, predict loss 6.6995
[Train] Iteration 948, total loss 15.9143, policy loss -5.3641, value loss 14.7072, entropy loss -0.0092, predict loss 6.5713
[Train] Iteration 949, total loss 10.1888, policy loss -4.9183, value loss 8.8919, entropy loss -0.0184, predict loss 6.2156
[Train] Iteration 950, total loss 7.0628, policy loss -4.7206, value loss 5.6053, entropy loss -0.0078, predict loss 6.1783
[Train] Iteration 951, total loss 7.2301, policy loss -4.6708, value loss 5.7580, entropy loss -0.0162, predict loss 6.1433
[Train] Iteration 952, total loss 8.4601, policy loss -5.1006, value loss 7.2807, entropy loss -0.0136, predict loss 6.2802
[Train] Iteration 953, total loss 11.4759, policy loss -4.2451, value loss 9.3101, entropy loss -0.0093, predict loss 6.4111
[Train] Iteration 954, total loss 6.7339, policy loss -4.2068, value loss 5.2296, entropy loss -0.0097, predict loss 5.7114
[Train] Iteration 955, total loss 8.7993, policy loss -4.4018, value loss 7.0793, entropy loss -0.0093, predict loss 6.1219
[Train] Iteration 956, total loss 9.9132, policy loss -4.5781, value loss 8.4912, entropy loss -0.0059, predict loss 6.0002
[Train] Iteration 957, total loss 12.7703, policy loss -4.9435, value loss 11.8163, entropy loss -0.0061, predict loss 5.8977
[Train] Iteration 958, total loss 10.0179, policy loss -4.6107, value loss 8.5717, entropy loss -0.0113, predict loss 6.0571
[Train] Iteration 959, total loss 8.0331, policy loss -4.9451, value loss 6.3515, entropy loss -0.0138, predict loss 6.6270
[Train] Iteration 960, total loss 11.5578, policy loss -4.7214, value loss 10.2367, entropy loss -0.0063, predict loss 6.0425
[Train] Iteration 961, total loss 12.5689, policy loss -4.2732, value loss 10.5498, entropy loss -0.0151, predict loss 6.2925
[Train] Iteration 962, total loss 12.2267, policy loss -5.2117, value loss 11.2310, entropy loss -0.0105, predict loss 6.2077
[Train] Iteration 963, total loss 5.8389, policy loss -4.6765, value loss 3.7898, entropy loss -0.0148, predict loss 6.7260
[Train] Iteration 964, total loss 4.9228, policy loss -4.8877, value loss 3.7922, entropy loss -0.0082, predict loss 6.0185
[Train] Iteration 965, total loss 7.0723, policy loss -4.5749, value loss 5.7582, entropy loss -0.0104, predict loss 5.8892
[Train] Iteration 966, total loss 8.3597, policy loss -3.5548, value loss 6.1787, entropy loss -0.0109, predict loss 5.7361
[Train] Iteration 967, total loss 7.0439, policy loss -4.4743, value loss 5.5920, entropy loss -0.0130, predict loss 5.9264
[Train] Iteration 968, total loss 7.4991, policy loss -4.2557, value loss 5.7691, entropy loss -0.0157, predict loss 5.9860
[Train] Iteration 969, total loss 5.7816, policy loss -4.8055, value loss 4.2021, entropy loss -0.0102, predict loss 6.3852
[Train] Iteration 970, total loss 11.1477, policy loss -4.6936, value loss 9.6147, entropy loss -0.0111, predict loss 6.2268
[Train] Iteration 971, total loss 8.8171, policy loss -4.7077, value loss 7.2068, entropy loss -0.0106, predict loss 6.3183
[Train] Iteration 972, total loss 7.5317, policy loss -4.4890, value loss 5.9314, entropy loss -0.0144, predict loss 6.0896
[Train] Iteration 973, total loss 10.8604, policy loss -4.3969, value loss 8.6837, entropy loss -0.0105, predict loss 6.5737
[Train] Iteration 974, total loss 10.2545, policy loss -4.7413, value loss 8.9536, entropy loss -0.0183, predict loss 6.0426
[Train] Iteration 975, total loss 11.8705, policy loss -5.0323, value loss 10.6364, entropy loss -0.0061, predict loss 6.2665
[Train] Iteration 976, total loss 7.3650, policy loss -4.9618, value loss 6.5956, entropy loss -0.0078, predict loss 5.7313
[Train] Iteration 977, total loss 10.1002, policy loss -4.7905, value loss 8.5739, entropy loss -0.0122, predict loss 6.3171
[Train] Iteration 978, total loss 6.2159, policy loss -5.0500, value loss 5.0703, entropy loss -0.0035, predict loss 6.1956
[Train] Iteration 979, total loss 12.0352, policy loss -4.6369, value loss 10.6957, entropy loss -0.0185, predict loss 5.9768
[Train] Iteration 980, total loss 10.4379, policy loss -5.0297, value loss 9.1658, entropy loss -0.0101, predict loss 6.3020
[Train] Iteration 981, total loss 10.0844, policy loss -4.9112, value loss 9.1624, entropy loss -0.0125, predict loss 5.8334
[Train] Iteration 982, total loss 10.1472, policy loss -4.8163, value loss 8.6879, entropy loss -0.0162, predict loss 6.2760
[Train] Iteration 983, total loss 10.5789, policy loss -4.8548, value loss 9.3191, entropy loss -0.0114, predict loss 6.1148
[Train] Iteration 984, total loss 13.9405, policy loss -4.9833, value loss 12.6680, entropy loss -0.0037, predict loss 6.2558
[Train] Iteration 985, total loss 7.4487, policy loss -5.0660, value loss 6.2011, entropy loss -0.0094, predict loss 6.3138
[Train] Iteration 986, total loss 9.2505, policy loss -4.2745, value loss 7.8376, entropy loss -0.0127, predict loss 5.6877
[Train] Iteration 987, total loss 8.5464, policy loss -4.8588, value loss 7.1012, entropy loss -0.0136, predict loss 6.3043
[Train] Iteration 988, total loss 7.0354, policy loss -4.8879, value loss 5.5513, entropy loss -0.0196, predict loss 6.3725
[Train] Iteration 989, total loss 10.2520, policy loss -5.1710, value loss 8.9423, entropy loss -0.0072, predict loss 6.4808
[Train] Iteration 990, total loss 11.0622, policy loss -5.1866, value loss 9.8471, entropy loss -0.0071, predict loss 6.4019
[Train] Iteration 991, total loss 7.8856, policy loss -5.0964, value loss 6.5664, entropy loss -0.0157, predict loss 6.4159
[Train] Iteration 992, total loss 15.9742, policy loss -5.0004, value loss 14.3144, entropy loss -0.0073, predict loss 6.6602
[Train] Iteration 993, total loss 5.2682, policy loss -4.8570, value loss 3.9274, entropy loss -0.0067, predict loss 6.1980
[Train] Iteration 994, total loss 8.5065, policy loss -2.8134, value loss 5.2238, entropy loss -0.0164, predict loss 6.0964
[Train] Iteration 995, total loss 8.1848, policy loss -4.7195, value loss 6.9551, entropy loss -0.0286, predict loss 5.9498
[Train] Iteration 996, total loss 6.1583, policy loss -4.7362, value loss 4.7095, entropy loss -0.0168, predict loss 6.1854
[Train] Iteration 997, total loss 10.3716, policy loss -4.8065, value loss 8.6324, entropy loss -0.0216, predict loss 6.5461
[Train] Iteration 998, total loss 10.4589, policy loss -4.5123, value loss 8.8198, entropy loss -0.0147, predict loss 6.1517
[Train] Iteration 999, total loss 14.1007, policy loss -4.3152, value loss 12.1724, entropy loss -0.0104, predict loss 6.2437
[Train] Iteration 1000, total loss 3.2850, policy loss -4.1622, value loss 1.3618, entropy loss -0.0211, predict loss 6.0859
[Train] Iteration 1001, total loss 6.9474, policy loss -4.6242, value loss 5.3641, entropy loss -0.0156, predict loss 6.2078
[Train] Iteration 1002, total loss 9.2044, policy loss -4.8606, value loss 8.0439, entropy loss -0.0104, predict loss 6.0214
[Train] Iteration 1003, total loss 12.4243, policy loss -4.5384, value loss 11.1120, entropy loss -0.0167, predict loss 5.8511
[Train] Iteration 1004, total loss 7.7564, policy loss -4.0580, value loss 5.2770, entropy loss -0.0166, predict loss 6.5379
[Train] Iteration 1005, total loss 2.7031, policy loss -5.2227, value loss 1.7743, entropy loss -0.0115, predict loss 6.1517
[Train] Iteration 1006, total loss 9.7434, policy loss -4.9309, value loss 8.9402, entropy loss -0.0150, predict loss 5.7343
[Train] Iteration 1007, total loss 8.2973, policy loss -5.1361, value loss 7.1298, entropy loss -0.0132, predict loss 6.3038
[Train] Iteration 1008, total loss 10.4295, policy loss -4.4896, value loss 8.8135, entropy loss -0.0099, predict loss 6.1057
[Train] Iteration 1009, total loss 9.4764, policy loss -4.5755, value loss 7.9523, entropy loss -0.0087, predict loss 6.0999
[Train] Iteration 1010, total loss 10.2192, policy loss -4.5823, value loss 9.0667, entropy loss -0.0109, predict loss 5.7350
[Train] Iteration 1011, total loss 10.3766, policy loss -4.9376, value loss 9.2849, entropy loss -0.0155, predict loss 6.0297
[Train] Iteration 1012, total loss 6.8698, policy loss -4.5396, value loss 5.1135, entropy loss -0.0153, predict loss 6.2962
[Train] Iteration 1013, total loss 8.8740, policy loss -4.5154, value loss 7.3008, entropy loss -0.0176, predict loss 6.0889
[Train] Iteration 1014, total loss 5.4602, policy loss -4.1366, value loss 3.9194, entropy loss -0.0194, predict loss 5.6777
[Train] Iteration 1015, total loss 9.3877, policy loss -5.3672, value loss 8.1921, entropy loss -0.0233, predict loss 6.5633
[Train] Iteration 1016, total loss 7.7369, policy loss -4.8267, value loss 6.2145, entropy loss -0.0207, predict loss 6.3494
[Train] Iteration 1017, total loss 6.4522, policy loss -4.3067, value loss 4.6440, entropy loss -0.0079, predict loss 6.1151
[Train] Iteration 1018, total loss 4.5664, policy loss -4.5509, value loss 3.1740, entropy loss -0.0227, predict loss 5.9437
[Train] Iteration 1019, total loss 14.3264, policy loss -4.7140, value loss 12.4351, entropy loss -0.0139, predict loss 6.6056
[Train] Iteration 1020, total loss 9.4982, policy loss -4.3499, value loss 7.8707, entropy loss -0.0239, predict loss 5.9778
[Train] Iteration 1021, total loss 7.4990, policy loss -4.3824, value loss 5.4639, entropy loss -0.0162, predict loss 6.4179
[Train] Iteration 1022, total loss 10.2419, policy loss -4.5165, value loss 8.8042, entropy loss -0.0099, predict loss 5.9544
[Train] Iteration 1023, total loss 8.8857, policy loss -4.5081, value loss 7.4315, entropy loss -0.0232, predict loss 5.9627
[Train] Iteration 1024, total loss 8.2077, policy loss -3.8507, value loss 6.0735, entropy loss -0.0264, predict loss 5.9854
[Train] Iteration 1025, total loss 3.5823, policy loss -4.3676, value loss 2.0488, entropy loss -0.0093, predict loss 5.9013
[Train] Iteration 1026, total loss 17.7793, policy loss -5.0959, value loss 16.6647, entropy loss -0.0099, predict loss 6.2107
[Train] Iteration 1027, total loss 6.8133, policy loss -4.9177, value loss 5.4521, entropy loss -0.0121, predict loss 6.2792
[Train] Iteration 1028, total loss 10.9703, policy loss -5.3564, value loss 10.2553, entropy loss -0.0104, predict loss 6.0717
[Train] Iteration 1029, total loss 14.1171, policy loss -4.7187, value loss 12.8780, entropy loss -0.0084, predict loss 5.9580
[Train] Iteration 1030, total loss 7.9663, policy loss -4.2230, value loss 6.3157, entropy loss -0.0094, predict loss 5.8738
[Train] Iteration 1031, total loss 7.3236, policy loss -4.7121, value loss 5.8343, entropy loss -0.0115, predict loss 6.2016
[Train] Iteration 1032, total loss 10.7089, policy loss -4.6049, value loss 8.7757, entropy loss -0.0198, predict loss 6.5384
[Train] Iteration 1033, total loss 7.3393, policy loss -4.3025, value loss 6.0159, entropy loss -0.0103, predict loss 5.6261
[Train] Iteration 1034, total loss 9.8997, policy loss -4.5558, value loss 8.5614, entropy loss -0.0152, predict loss 5.8943
[Train] Iteration 1035, total loss 7.5566, policy loss -5.4011, value loss 6.6048, entropy loss -0.0043, predict loss 6.3530
[Train] Iteration 1036, total loss 8.9342, policy loss -5.1182, value loss 7.7451, entropy loss -0.0090, predict loss 6.3074
[Train] Iteration 1037, total loss 11.1269, policy loss -5.3440, value loss 9.8961, entropy loss -0.0131, predict loss 6.5751
[Train] Iteration 1038, total loss 5.4241, policy loss -5.2979, value loss 4.5295, entropy loss -0.0230, predict loss 6.1930
[Train] Iteration 1039, total loss 8.4604, policy loss -5.1947, value loss 7.3519, entropy loss -0.0190, predict loss 6.3036
[Train] Iteration 1040, total loss 8.7176, policy loss -4.4975, value loss 7.1814, entropy loss -0.0110, predict loss 6.0340
[Train] Iteration 1041, total loss 10.9842, policy loss -4.6627, value loss 9.6577, entropy loss -0.0107, predict loss 5.9895
[Train] Iteration 1042, total loss 4.3296, policy loss -3.9600, value loss 2.3572, entropy loss -0.0164, predict loss 5.9328
[Train] Iteration 1043, total loss 11.1868, policy loss -4.4666, value loss 9.0683, entropy loss -0.0102, predict loss 6.5854
[Train] Iteration 1044, total loss 7.3908, policy loss -4.6497, value loss 6.3378, entropy loss -0.0089, predict loss 5.7029
[Train] Iteration 1045, total loss 8.6597, policy loss -4.9629, value loss 7.4444, entropy loss -0.0098, predict loss 6.1785
[Train] Iteration 1046, total loss 12.1857, policy loss -4.1148, value loss 10.1030, entropy loss -0.0136, predict loss 6.1978
[Train] Iteration 1047, total loss 6.0827, policy loss -4.8400, value loss 4.9672, entropy loss -0.0077, predict loss 5.9557
[Train] Iteration 1048, total loss 11.2568, policy loss -4.7392, value loss 10.0203, entropy loss -0.0104, predict loss 5.9759
[Train] Iteration 1049, total loss 4.7967, policy loss -5.1262, value loss 3.8504, entropy loss -0.0039, predict loss 6.0726
[Train] Iteration 1050, total loss 13.9800, policy loss -3.9799, value loss 11.5866, entropy loss -0.0090, predict loss 6.3735
[Train] Iteration 1051, total loss 6.4809, policy loss -4.8760, value loss 5.4412, entropy loss -0.0166, predict loss 5.9160
[Train] Iteration 1052, total loss 6.1373, policy loss -3.8386, value loss 3.7278, entropy loss -0.0121, predict loss 6.2483
[Train] Iteration 1053, total loss 7.2355, policy loss -5.0387, value loss 6.1825, entropy loss -0.0168, predict loss 6.0920
[Train] Iteration 1054, total loss 5.1895, policy loss -4.7435, value loss 3.7938, entropy loss -0.0117, predict loss 6.1394
[Train] Iteration 1055, total loss 7.4144, policy loss -4.6029, value loss 6.0123, entropy loss -0.0107, predict loss 6.0052
[Train] Iteration 1056, total loss 6.5567, policy loss -4.8660, value loss 5.3050, entropy loss -0.0172, predict loss 6.1181
[Train] Iteration 1057, total loss 10.3955, policy loss -4.7773, value loss 9.0481, entropy loss -0.0129, predict loss 6.1249
[Train] Iteration 1058, total loss 8.2521, policy loss -3.7572, value loss 5.5459, entropy loss -0.0113, predict loss 6.4637
[Train] Iteration 1059, total loss 7.3086, policy loss -4.6599, value loss 5.6001, entropy loss -0.0118, predict loss 6.3686
[Train] Iteration 1060, total loss 3.2638, policy loss -4.4315, value loss 1.5167, entropy loss -0.0123, predict loss 6.1788
[Train] Iteration 1061, total loss 7.7606, policy loss -3.4851, value loss 5.1402, entropy loss -0.0099, predict loss 6.1057
[Train] Iteration 1062, total loss 5.0216, policy loss -4.4918, value loss 3.1845, entropy loss -0.0179, predict loss 6.3293
[Train] Iteration 1063, total loss 8.8563, policy loss -4.9172, value loss 7.6622, entropy loss -0.0162, predict loss 6.1116
[Train] Iteration 1064, total loss 5.8980, policy loss -4.8694, value loss 4.7760, entropy loss -0.0060, predict loss 5.9915
[Train] Iteration 1065, total loss 7.4257, policy loss -4.7096, value loss 5.8540, entropy loss -0.0243, predict loss 6.2818
[Train] Iteration 1066, total loss 6.9825, policy loss -4.9849, value loss 5.7223, entropy loss -0.0119, predict loss 6.2453
[Train] Iteration 1067, total loss 6.6258, policy loss -5.0956, value loss 5.3816, entropy loss -0.0124, predict loss 6.3400
[Train] Iteration 1068, total loss 12.6783, policy loss -4.2348, value loss 11.0723, entropy loss -0.0154, predict loss 5.8412
[Train] Iteration 1069, total loss 9.3152, policy loss -4.2961, value loss 7.5007, entropy loss -0.0093, predict loss 6.1108
[Train] Iteration 1070, total loss 10.0951, policy loss -4.4497, value loss 8.9636, entropy loss -0.0112, predict loss 5.5814
[Train] Iteration 1071, total loss 9.6946, policy loss -4.5429, value loss 8.0674, entropy loss -0.0193, predict loss 6.1705
[Train] Iteration 1072, total loss 4.6989, policy loss -4.7962, value loss 3.5420, entropy loss -0.0041, predict loss 5.9532
[Train] Iteration 1073, total loss 7.6541, policy loss -4.7075, value loss 6.2059, entropy loss -0.0113, predict loss 6.1559
[Train] Iteration 1074, total loss 4.1659, policy loss -4.8300, value loss 3.0044, entropy loss -0.0260, predict loss 5.9921
[Train] Iteration 1075, total loss 10.9852, policy loss -4.6671, value loss 9.7773, entropy loss -0.0120, predict loss 5.8753
[Train] Iteration 1076, total loss 7.0232, policy loss -5.1696, value loss 5.8984, entropy loss -0.0111, predict loss 6.2948
[Train] Iteration 1077, total loss 3.9433, policy loss -4.5625, value loss 2.2063, entropy loss -0.0103, predict loss 6.2998
[Train] Iteration 1078, total loss 6.1123, policy loss -4.1365, value loss 4.4837, entropy loss -0.0081, predict loss 5.7653
[Train] Iteration 1079, total loss 9.1873, policy loss -4.6128, value loss 7.5797, entropy loss -0.0118, predict loss 6.2206
[Train] Iteration 1080, total loss 8.7413, policy loss -4.7960, value loss 7.7368, entropy loss -0.0177, predict loss 5.8008
[Train] Iteration 1081, total loss 9.1522, policy loss -4.8105, value loss 7.5794, entropy loss -0.0132, predict loss 6.3836
[Train] Iteration 1082, total loss 8.3012, policy loss -5.1366, value loss 6.9743, entropy loss -0.0157, predict loss 6.4638
[Train] Iteration 1083, total loss 7.1038, policy loss -4.9179, value loss 5.6528, entropy loss -0.0056, predict loss 6.3691
[Train] Iteration 1084, total loss 8.2175, policy loss -5.0995, value loss 7.2860, entropy loss -0.0087, predict loss 6.0312
[Train] Iteration 1085, total loss 13.3196, policy loss -5.1029, value loss 12.0240, entropy loss -0.0139, predict loss 6.3988
[Train] Iteration 1086, total loss 8.6353, policy loss -4.6090, value loss 7.0965, entropy loss -0.0080, predict loss 6.1479
[Train] Iteration 1087, total loss 6.4401, policy loss -4.2158, value loss 4.5161, entropy loss -0.0125, predict loss 6.1401
[Train] Iteration 1088, total loss 4.6749, policy loss -4.7336, value loss 3.2741, entropy loss -0.0093, predict loss 6.1346
[Train] Iteration 1089, total loss 13.6964, policy loss -4.8805, value loss 12.4552, entropy loss -0.0070, predict loss 6.1218
[Train] Iteration 1090, total loss 7.3584, policy loss -4.7155, value loss 6.0656, entropy loss -0.0072, predict loss 6.0083
[Train] Iteration 1091, total loss 11.8097, policy loss -4.6446, value loss 10.2490, entropy loss -0.0144, predict loss 6.2056
[Train] Iteration 1092, total loss 11.3550, policy loss -3.9767, value loss 9.4087, entropy loss -0.0147, predict loss 5.9234
[Train] Iteration 1093, total loss 7.0494, policy loss -4.2690, value loss 5.4251, entropy loss -0.0140, predict loss 5.8936
[Train] Iteration 1094, total loss 8.4159, policy loss -4.9151, value loss 7.3640, entropy loss -0.0141, predict loss 5.9672
[Train] Iteration 1095, total loss 2.6083, policy loss -4.2624, value loss 0.9685, entropy loss -0.0088, predict loss 5.9024
[Train] Iteration 1096, total loss 8.3110, policy loss -4.3854, value loss 6.5993, entropy loss -0.0059, predict loss 6.0972
[Train] Iteration 1097, total loss 5.7816, policy loss -4.7678, value loss 4.7687, entropy loss -0.0094, predict loss 5.7809
[Train] Iteration 1098, total loss 10.3153, policy loss -4.8648, value loss 8.8935, entropy loss -0.0195, predict loss 6.2870
[Train] Iteration 1099, total loss 8.6786, policy loss -4.5582, value loss 7.3137, entropy loss -0.0114, predict loss 5.9233
[Train] Iteration 1100, total loss 8.4375, policy loss -4.5479, value loss 6.9602, entropy loss -0.0219, predict loss 6.0256
[Train] Iteration 1101, total loss 11.0103, policy loss -4.7756, value loss 10.0281, entropy loss -0.0154, predict loss 5.7581
[Train] Iteration 1102, total loss 7.5350, policy loss -4.5770, value loss 5.8713, entropy loss -0.0186, predict loss 6.2410
[Train] Iteration 1103, total loss 4.8388, policy loss -4.2512, value loss 2.9700, entropy loss -0.0129, predict loss 6.1203
[Train] Iteration 1104, total loss 10.5874, policy loss -5.0577, value loss 9.3972, entropy loss -0.0111, predict loss 6.2481
[Train] Iteration 1105, total loss 6.4032, policy loss -4.1514, value loss 4.4050, entropy loss -0.0169, predict loss 6.1499
[Train] Iteration 1106, total loss 6.3927, policy loss -5.1301, value loss 4.8544, entropy loss -0.0169, predict loss 6.6688
[Train] Iteration 1107, total loss 8.1572, policy loss -5.1486, value loss 7.2464, entropy loss -0.0107, predict loss 6.0596
[Train] Iteration 1108, total loss 9.2510, policy loss -4.4101, value loss 7.6178, entropy loss -0.0106, predict loss 6.0434
[Train] Iteration 1109, total loss 5.9687, policy loss -4.6895, value loss 4.6406, entropy loss -0.0107, predict loss 6.0178
[Train] Iteration 1110, total loss 8.8730, policy loss -4.8180, value loss 7.3195, entropy loss -0.0159, predict loss 6.3717
[Train] Iteration 1111, total loss 9.1248, policy loss -4.4532, value loss 7.4406, entropy loss -0.0214, predict loss 6.1378
[Train] Iteration 1112, total loss 8.8646, policy loss -4.8948, value loss 7.2040, entropy loss -0.0082, predict loss 6.5555
[Train] Iteration 1113, total loss 11.6120, policy loss -4.7740, value loss 10.1541, entropy loss -0.0091, predict loss 6.2321
[Train] Iteration 1114, total loss 9.4794, policy loss -4.4685, value loss 7.6369, entropy loss -0.0194, predict loss 6.3113
[Train] Iteration 1115, total loss 7.7974, policy loss -4.3091, value loss 6.3615, entropy loss -0.0149, predict loss 5.7453
[Train] Iteration 1116, total loss 6.4437, policy loss -4.4706, value loss 4.6317, entropy loss -0.0039, predict loss 6.2827
[Train] Iteration 1117, total loss 6.6715, policy loss -4.7401, value loss 5.5331, entropy loss -0.0033, predict loss 5.8785
[Train] Iteration 1118, total loss 7.0112, policy loss -4.5115, value loss 5.7784, entropy loss -0.0059, predict loss 5.7444
[Train] Iteration 1119, total loss 6.6441, policy loss -4.6585, value loss 5.2107, entropy loss -0.0110, predict loss 6.0921
[Train] Iteration 1120, total loss 5.1379, policy loss -4.4569, value loss 3.3491, entropy loss -0.0197, predict loss 6.2460
[Train] Iteration 1121, total loss 6.4642, policy loss -4.5931, value loss 4.9084, entropy loss -0.0128, predict loss 6.1492
[Train] Iteration 1122, total loss 7.2660, policy loss -4.6282, value loss 5.7870, entropy loss -0.0121, predict loss 6.1075
[Train] Iteration 1123, total loss 7.1746, policy loss -4.8916, value loss 6.1223, entropy loss -0.0072, predict loss 5.9441
[Train] Iteration 1124, total loss 7.2300, policy loss -4.6383, value loss 5.7889, entropy loss -0.0035, predict loss 6.0795
[Train] Iteration 1125, total loss 7.8586, policy loss -4.5302, value loss 6.2201, entropy loss -0.0130, predict loss 6.1690
[Train] Iteration 1126, total loss 11.3775, policy loss -4.6953, value loss 9.7372, entropy loss -0.0151, predict loss 6.3359
[Train] Iteration 1127, total loss 4.9960, policy loss -4.5436, value loss 3.3110, entropy loss -0.0158, predict loss 6.2289
[Train] Iteration 1128, total loss 6.8546, policy loss -4.2698, value loss 5.1702, entropy loss -0.0079, predict loss 5.9543
[Train] Iteration 1129, total loss 5.2548, policy loss -4.2310, value loss 3.8621, entropy loss -0.0143, predict loss 5.6240
[Train] Iteration 1130, total loss 9.9376, policy loss -4.4030, value loss 8.1726, entropy loss -0.0129, predict loss 6.1683
[Train] Iteration 1131, total loss 9.3358, policy loss -4.5062, value loss 8.1831, entropy loss -0.0099, predict loss 5.6590
[Train] Iteration 1132, total loss 8.4624, policy loss -4.0722, value loss 6.7534, entropy loss -0.0196, predict loss 5.7816
[Train] Iteration 1133, total loss 6.8595, policy loss -5.0030, value loss 5.5599, entropy loss -0.0056, predict loss 6.3028
[Train] Iteration 1134, total loss 5.7105, policy loss -4.2202, value loss 4.0151, entropy loss -0.0111, predict loss 5.9158
[Train] Iteration 1135, total loss 6.5743, policy loss -4.2268, value loss 4.6642, entropy loss -0.0146, predict loss 6.1372
[Train] Iteration 1136, total loss 8.7899, policy loss -4.8199, value loss 7.7733, entropy loss -0.0199, predict loss 5.8369
[Train] Iteration 1137, total loss 11.1215, policy loss -3.7839, value loss 8.8862, entropy loss -0.0110, predict loss 6.0195
[Train] Iteration 1138, total loss 6.5543, policy loss -4.3998, value loss 4.9322, entropy loss -0.0022, predict loss 6.0220
[Train] Iteration 1139, total loss 5.1813, policy loss -4.9682, value loss 4.3300, entropy loss -0.0066, predict loss 5.8196
[Train] Iteration 1140, total loss 8.1306, policy loss -4.7746, value loss 6.4541, entropy loss -0.0067, predict loss 6.4512
[Train] Iteration 1141, total loss 8.3793, policy loss -4.4298, value loss 6.6599, entropy loss -0.0092, predict loss 6.1494
[Train] Iteration 1142, total loss 10.2918, policy loss -4.8285, value loss 8.9056, entropy loss -0.0157, predict loss 6.2150
[Train] Iteration 1143, total loss 4.8126, policy loss -4.5342, value loss 3.4162, entropy loss -0.0251, predict loss 5.9311
[Train] Iteration 1144, total loss 7.6962, policy loss -5.1254, value loss 6.5712, entropy loss -0.0118, predict loss 6.2506
[Train] Iteration 1145, total loss 9.1192, policy loss -4.6584, value loss 7.7083, entropy loss -0.0067, predict loss 6.0695
[Train] Iteration 1146, total loss 7.5005, policy loss -4.2864, value loss 5.8837, entropy loss -0.0093, predict loss 5.9034
[Train] Iteration 1147, total loss 7.4723, policy loss -4.9811, value loss 6.3664, entropy loss -0.0094, predict loss 6.0871
[Train] Iteration 1148, total loss 7.8666, policy loss -4.6516, value loss 6.1610, entropy loss -0.0114, predict loss 6.3574
[Train] Iteration 1149, total loss 9.0838, policy loss -4.7366, value loss 7.9253, entropy loss -0.0212, predict loss 5.8955
[Train] Iteration 1150, total loss 11.8045, policy loss -5.2689, value loss 11.2901, entropy loss -0.0190, predict loss 5.7836
[Train] Iteration 1151, total loss 11.3384, policy loss -4.6330, value loss 9.3984, entropy loss -0.0102, predict loss 6.5732
[Train] Iteration 1152, total loss 7.8170, policy loss -4.7307, value loss 6.4387, entropy loss -0.0034, predict loss 6.1091
[Train] Iteration 1153, total loss 8.9945, policy loss -5.1513, value loss 8.1027, entropy loss -0.0139, predict loss 6.0434
[Train] Iteration 1154, total loss 9.6633, policy loss -4.3673, value loss 8.2060, entropy loss -0.0124, predict loss 5.8248
